Tên,Giá,RAM,SSD,Rating,Đã bán
Asus TUF Gaming A15 FA506NFR R7 7435HS (HN113W),17.990.000₫,RAM 16 GB,SSD 512 GB,4.9,500
Asus Vivobook 15 X1504ZA i5 1235U (NJ1546W),14.690.000₫,RAM 16 GB,SSD 512 GB,4.9,"1,4k"
Acer Aspire Lite 14 51M 59BN i5 1235U (NX.KTXSV.001),13.990.000₫,RAM 16 GB,SSD 512 GB,4.9,"2,9k"
HP 240 G10 i5 1335U (9H2E4PT),17.590.000₫,RAM 16 GB,SSD 512 GB,4.9,"1,4k"
HP Pavilion X360 14 ek2024TU Core 5 120U (9Z2V6PA),23.990.000₫,RAM 16 GB,SSD 512 GB,5,982
Acer Aspire 3 A315 44P R9W8 R7 5700U (NX.KSJSV.002),11.290.000₫,RAM 8 GB,SSD 512 GB,4.9,"4,1k"
Lenovo Ideapad Slim 3 16IRH10 i5 13420H (83K20003VN),17.490.000₫,RAM 24 GB,SSD 512 GB,5,62
MSI Gaming GF63 Thin 12VE i5 12450H (460VN),19.690.000₫,RAM 16 GB,SSD 512 GB,4.9,"2,1k"
Dell Inspiron 15 3520 i5 1235U (N3520-i5U085W11SLU),14.490.000₫,RAM 8 GB,SSD 512 GB,5,728
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS000JVN),22.190.000₫,RAM 16 GB,SSD 512 GB,4.9,"4,4k"
Asus Vivobook 16 X1605VA i5 1335U (MB360W),14.890.000₫,RAM 16 GB,SSD 512 GB,4.9,"4,2k"
Acer Gaming Aspire 5 A515 58GM 53PZ i5 13420H (NX.KQ4SV.008),16.690.000₫,RAM 8 GB,SSD 512 GB,4.9,"1,1k"
Acer Aspire 3 A315 59 5283 i5 1235U (NX.K6TSV.00B),13.690.000₫,RAM 8 GB,SSD 512 GB,4.9,"2,4k"
Asus Gaming Vivobook K3605ZC i5 12500H (RP629W),19.490.000₫,RAM 16 GB,SSD 512 GB,4.9,"1,2k"
Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX (83LK0079VN),20.690.000₫,RAM 16 GB,SSD 512 GB,N/A,N/A
HP Pavilion 15 eg3091TU i7 1355U (8C5L2PA),23.690.000₫,RAM 16 GB,SSD 512 GB,4.9,"1,4k"
HP 15 fd1063TU Ultra 5 125H (9Z2Y1PA),19.990.000₫,RAM 16 GB,SSD 512 GB,5,670
MSI Gaming Katana 15 B13VFK i7 13620H (676VN),28.690.000₫,RAM 16 GB,SSD 1 TB,4.9,496
Dell Inspiron 15 3520 i7 1255U (25P2315),19.990.000₫,RAM 16 GB,SSD 512 GB,5,282
Acer Nitro V 15 ANV15 41 R1JY R5 6600H (NH.QPFSV.001),20.490.000₫,RAM 16 GB,SSD 512 GB,5,268
Acer Gaming Nitro 5 Tiger AN515 58 52SP i5 12500H (NH.QFHSV.001),19.690.000₫,RAM 8 GB,SSD 512 GB,4.9,"1,2k"
Asus Vivobook S 16 OLED S5606MA Ultra 5 125H (MX050W),23.990.000₫,RAM 16 GB,SSD 512 GB,4.9,835
Lenovo Ideapad Slim 5 14IAH8 i5 12450H (83BF003WVN),17.690.000₫,RAM 16 GB,SSD 1 TB,4.9,"2,9k"
Asus TUF Gaming A15 FA507NUR R7 7435HS (LP057W),24.490.000₫,RAM 16 GB,SSD 512 GB,5,543
MSI Gaming Thin 15 B12UC i5 12450H (2045VN),18.190.000₫,RAM 16 GB,SSD 512 GB,5,772
HP Pavilion X360 14 ek2027TU Core 7 150U (9Z2V9PA),27.190.000₫,RAM 16 GB,SSD 512 GB,5,358
GIGABYTE G5 MF5 RC555 i5 13500H (9RC55MF5FEIAA1VN0C0),21.990.000₫,RAM 16 GB,SSD 512 GB,5,15
Dell Latitude 3440 i5 1235U (L3440-I51235U-16G512G),16.990.000₫,RAM 16 GB,SSD 512 GB,4.9,"1,9k"
Acer Gaming Aspire 5 A515 58GM 51LB i5 13420H (NX.KQ4SV.002),16.990.000₫,RAM 16 GB,SSD 512 GB,4.9,"5,9k"
Lenovo Gaming LOQ 15ARP9 R7 7435HS (83JC0040VN),26.690.000₫,RAM 24 GB,SSD 512 GB,5,886
Acer Aspire 16 AI A16 71M 59L5 Ultra 5 125H (NX.J4YSV.001),18.690.000₫,RAM 16 GB,SSD 512 GB,5,56
Asus Zenbook 14 OLED UX3402VA i5 13500H (KM657W),23.690.000₫,RAM 16 GB,SSD 512 GB,4.9,909
Asus TUF Gaming F15 FX507VV i7 13620H (LP151W),28.890.000₫,RAM 16 GB,SSD 512 GB,5,407
HP Envy x360 14 fc0162TU Ultra 5 125U (AY8X1PA),28.690.000₫,RAM 16 GB,SSD 512 GB,4.9,118
Lenovo IdeaPad Slim 5 OLED 14AHP10 R7 8845HS (83HV001MVN),25.090.000₫,RAM 32 GB,SSD 512 GB,5,4
MSI Gaming Katana 15 B13UDXK i7 13620H (2077VN),24.690.000₫,RAM 16 GB,SSD 1 TB,4.9,740
HP VICTUS 16 r0283TX i5 13500H (AD9T3PA),23.690.000₫,RAM 16 GB,SSD 512 GB,5,109
